# Rime user dictionary
#@/db_name	clover
#@/db_type	userdb
#@/rime_version	1.7.3
#@/tick	16526
#@/user_id	windows11-caoayu-pc-i512400
a 	啊	c=99 d=2.19152 t=16526
chao guan 	超管	c=2 d=0.0769192 t=16526
chao guo 	超过	c=4 d=0.105928 t=16526
chao le 	超了	c=1 d=0.017249 t=16526
chao shi 	超时	c=1 d=0.0178634 t=16526
che 	扯	c=1 d=0.000119165 t=16526
che 	车	c=1 d=0.251579 t=16526
che hui 	撤回	c=1 d=0.0798516 t=16526
che le 	撤了	c=1 d=9.18981e-07 t=16526
che li 	车里	c=1 d=0.00726273 t=16526
che pai 	车牌	c=1 d=0.00856561 t=16526
che piao 	车票	c=1 d=0.00167826 t=16526
che xiao 	撤销	c=2 d=0.0200937 t=16526
chen 	沉	c=1 d=3.65286e-06 t=16526
chen jin shi 	沉浸式	c=8 d=0.00160973 t=16526
cheng 	乘	c=1 d=0.00683978 t=16526
cheng 	成	c=9 d=1.49513 t=16526
cheng 	撑	c=1 d=0.00565622 t=16526
cheng 	称	c=1 d=0.028297 t=16526
cheng 	程	c=1 d=3.91772e-06 t=16526
cheng ben 	成本	c=1 d=0.000152248 t=16526
cheng bu cheng gong 	成不成功	c=1 d=0.280832 t=16526
cheng dui 	成对	c=1 d=1.64134e-06 t=16526
cheng gong 	成功	c=6 d=0.834861 t=16526
cheng gong le 	成功了	c=2 d=0.00777477 t=16526
cheng guo 	成果	c=1 d=1.63315e-06 t=16526
cheng ji 	成绩	c=1 d=0.0652193 t=16526
cheng le 	成了	c=1 d=0.00302755 t=16526
cheng nian 	成年	c=1 d=0.000261259 t=16526
cheng nuo 	承诺	c=1 d=0.135335 t=16526
cheng nuo shu 	承诺书	c=6 d=0.414783 t=16526
cheng shu 	成熟	c=2 d=0.13466 t=16526
cheng xu 	程序	c=7 d=0.509307 t=16526
chi 	吃	c=12 d=0.658036 t=16526
chi ba 	吃吧	c=1 d=1.59337e-10 t=16526
chi cun 	尺寸	c=1 d=0.00687406 t=16526
chi da can 	吃大餐	c=1 d=1.15125e-10 t=16526
chi dao 	迟到	c=2 d=0.449329 t=16526
chi de 	吃得	c=3 d=0.33623 t=16526
chi dian 	吃点	c=2 d=0.00406639 t=16526
chi fa 	吃法	c=0 d=0.0444858 t=16526
chi fa o 	吃法哦	c=1 d=0.447088 t=16526
chi fan 	吃饭	c=6 d=0.176414 t=16526
chi fan le 	吃饭了	c=2 d=0.491644 t=16526
chi ge 	吃个	c=1 d=0.275271 t=16526
chi ge fan 	吃个饭	c=1 d=0.0761538 t=16526
chi guo 	吃过	c=1 d=0.145876 t=16526
chi guo le 	吃过了	c=1 d=0.00677172 t=16526
chi he 	吃喝	c=1 d=0.00612731 t=16526
chi le 	吃了	c=2 d=0.543351 t=16526
chi le ma 	吃了吗	c=2 d=0.0185771 t=16526
chi le mei 	吃了没	c=1 d=0.932394 t=16526
chi sha 	吃啥	c=2 d=3.52615e-10 t=16526
chi sha 	痴傻	c=1 d=1.49309e-10 t=16526
chi shen me 	吃什么	c=2 d=0.985112 t=16526
chi wan 	吃完	c=3 d=0.856415 t=16526
chi wan fan 	吃完饭	c=3 d=0.0039607 t=16526
chi wan le 	吃完了	c=1 d=6.39496e-06 t=16526
chi xi 	吃席	c=1 d=0.228779 t=16526
chi xu 	持续	c=1 d=5.34152e-06 t=16526
chi yao 	吃药	c=2 d=0.852144 t=16526
chi yao le 	吃药了	c=1 d=0.000322309 t=16526
chi yao le ma 	吃药了吗	c=1 d=0.00923273 t=16526
chi zi 	尺子	c=1 d=0.00588705 t=16526
chong 	冲	c=1 d=5.20964e-06 t=16526
chong 	重	c=1 d=0.0423701 t=16526
chong dang 	充当	c=2 d=2.78558e-07 t=16526
chong dian bao 	充电宝	c=1 d=3.78297e-06 t=16526
chong ding xiang 	重定向	c=2 d=0.311923 t=16526
chong fa 	重发	c=1 d=0.0963276 t=16526
chong fu 	重复	c=7 d=1 t=16526
chong kai 	冲开	c=2 d=0.22313 t=16526
chong kai 	重开	c=1 d=0.00158844 t=16526
chong lang 	冲浪	c=1 d=0.774916 t=16526
chong le 	冲了	c=2 d=2.20985e-05 t=16526
chong ming ming 	重命名	c=1 d=1.81834e-05 t=16526
chong qi 	重启	c=3 d=1.31536e-08 t=16526
chong shi 	冲试	c=1 d=1.15943e-05 t=16526
chong shi 	重试	c=1 d=2.23282e-09 t=16526
chong tu 	冲突	c=1 d=0.0953692 t=16526
chong tu le 	冲突了	c=1 d=0.0808629 t=16526
chong xin 	重新	c=15 d=0.731577 t=16526
chong zai 	重载	c=3 d=8.02743e-05 t=16526
chou 	丑	c=2 d=0.035437 t=16526
chou 	臭	c=1 d=0.470011 t=16526
chou chou 	瞅瞅	c=1 d=0.197899 t=16526
chou xiang 	抽象	c=1 d=0.000169951 t=16526
chou xiang lei 	抽象类	c=4 d=0.0284388 t=16526
chu 	出	c=8 d=0.978876 t=16526
chu 	楚	c=1 d=0.144424 t=16526
chu 	除	c=2 d=0.0340475 t=16526
chu ba 	初八	c=2 d=0.000401622 t=16526
chu bu chu 	出不出	c=0 d=2.38772e-05 t=16526
chu bu chu qu 	出不出去	c=1 d=0.000239969 t=16526
chu cuo 	出错	c=1 d=0.00960953 t=16526
chu fa 	出发	c=1 d=0.0450492 t=16526
chu fa 	触发	c=2 d=0.045275 t=16526
chu fang 	厨房	c=3 d=0.48128 t=16526
chu fei 	除非	c=1 d=0.000201444 t=16526
chu guo 	出国	c=2 d=0.00591674 t=16526
chu han 	出汗	c=1 d=0.00168667 t=16526
chu ku dan 	出库单	c=3 d=1.17404 t=16526
chu lai 	出来	c=9 d=1.44817 t=16526
chu le 	除了	c=2 d=0.0214936 t=16526
chu li 	处理	c=21 d=0.933879 t=16526
chu qi 	初七	c=2 d=0.000407691 t=16526
chu qu 	出去	c=2 d=0.778801 t=16526
chu sheng 	出生	c=7 d=0.821521 t=16526
chu sheng ri qi 	出生日期	c=1 d=0.421052 t=16526
chu shi hua 	初始化	c=14 d=0.79679 t=16526
chu wen ti 	出问题	c=1 d=0.0678809 t=16526
chu xian 	出现	c=2 d=0.0655462 t=16526
chu xian guo 	出现过	c=1 d=0.0124629 t=16526
chu yi 	出一	c=0 d=3.3379e-05 t=16526
chu yi shen han 	出一身汗	c=1 d=0.000335463 t=16526
chu yu 	出于	c=1 d=3.47707e-14 t=16526
chu zhi 	处置	c=1 d=0.384812 t=16526
chu zhong 	初中	c=2 d=0.000139848 t=16526
chu zhu yi 	出主意	c=1 d=0.15259 t=16526
chua li 	欻理	c=1 d=0.0357931 t=16526
chuan 	传	c=16 d=0.839457 t=16526
chuan 	穿	c=6 d=0.22409 t=16526
chuan can 	传参	c=1 d=0.634448 t=16526
chuan da 	穿搭	c=1 d=0.591555 t=16526
chuan di 	传递	c=2 d=0.0017555 t=16526
chuan dian 	穿点	c=1 d=0.000391706 t=16526
chuan guo lai 	传过来	c=6 d=0.261011 t=16526
chuan hao 	穿好	c=1 d=0.715338 t=16526
chuan le 	传了	c=2 d=0.0331328 t=16526
chuan le 	穿了	c=1 d=0.615697 t=16526
chuan zhe 	穿着	c=0 d=3.37144e-05 t=16526
chuan zhe ne 	穿着呢	c=1 d=0.000338834 t=16526
chuang 	床	c=1 d=6.03814e-07 t=16526
chuang ge 	窗格	c=1 d=4.25428e-05 t=16526
chuang jian 	创建	c=10 d=0.269201 t=16526
chuang kou 	窗口	c=4 d=0.069364 t=16526
chuang qian ming yue guang 	床前明月光	c=1 d=7.87298e-11 t=16526
chuang ye 	创业	c=1 d=5.74268e-05 t=16526
chui 	吹	c=1 d=1.90301e-11 t=16526
chui chui 	吹吹	c=1 d=0.000520875 t=16526
chui zi 	锤子	c=5 d=0.923116 t=16526
chun 	纯	c=1 d=4.4724e-05 t=16526
chun jie 	春节	c=1 d=0.0177743 t=16526
chun jie qian 	春节前	c=1 d=0.00157264 t=16526
chun wan 	春晚	c=1 d=0.0142642 t=16526
ci 	次	c=2 d=0.697676 t=16526
ci 	此	c=1 d=0.433874 t=16526
ci 	词	c=3 d=1.05299 t=16526
ci chu 	此处	c=1 d=3.19156e-06 t=16526
ci dian 	词典	c=2 d=0.00477164 t=16526
ci ke 	刺客	c=1 d=0.0389686 t=16526
ci ku 	词库	c=1 d=0.000149981 t=16526
ci shu 	次数	c=1 d=0.000252273 t=16526
ci tui 	辞退	c=2 d=0.560262 t=16526
cong 	从	c=14 d=1.07594 t=16526
cong na li 	从哪里	c=1 d=0.000211772 t=16526
cong ye 	从业	c=5 d=0.737123 t=16526
cou 	凑	c=1 d=0.790571 t=16526
cu 	粗	c=4 d=0.0231029 t=16526
cu bao 	粗暴	c=1 d=0.0202419 t=16526
cun 	存	c=6 d=0.563657 t=16526
cun 	村	c=3 d=0.000845993 t=16526
cun chu 	存储	c=5 d=0.0834087 t=16526
cun de 	寸地	c=1 d=0.546074 t=16526
cun li 	村里	c=1 d=0.000120966 t=16526
cun tou 	村头	c=1 d=0.000125275 t=16526
cun zai 	存在	c=6 d=0.795439 t=16526
cuo 	错	c=2 d=0.913931 t=16526
cuo le 	错了	c=2 d=0.018968 t=16526
cuo wu 	错误	c=6 d=0.843619 t=16526
da 	大	c=9 d=0.729789 t=16526
da 	打	c=2 d=4.92776e-09 t=16526
da 	搭	c=3 d=0.904837 t=16526
da ai 	大碍	c=1 d=0.0020601 t=16526
da an 	答案	c=2 d=3.24116e-10 t=16526
da ban 	大半	c=1 d=0.00625109 t=16526
da ban ye 	大半夜	c=2 d=0.0217096 t=16526
da bao 	打包	c=2 d=0.00680566 t=16526
da bu fen 	大部分	c=1 d=1.47392e-05 t=16526
da bu kai 	打不开	c=1 d=0.481909 t=16526
da chang 	大厂	c=2 d=0.524663 t=16526
da che 	打车	c=2 d=0.000500451 t=16526
da cheng 	打成	c=1 d=4.82237e-09 t=16526
da da 	大大	c=1 d=4.62368e-14 t=16526
da dan 	大胆	c=1 d=0.831104 t=16526
da de 	大的	c=1 d=5.54516e-05 t=16526
da de 	打得	c=0 d=0.000484407 t=16526
da de kai 	打得开	c=1 d=0.00486835 t=16526
da dian hua 	打电话	c=2 d=0.369723 t=16526
da duo 	大多	c=1 d=9.59451e-14 t=16526
da duo shu 	大多数	c=2 d=0.178173 t=16526
da fa 	打法	c=0 d=0.00629761 t=16526
da fang 	大放	c=1 d=0.0434998 t=16526
da gai 	大概	c=5 d=0.00153381 t=16526
da gang 	大纲	c=1 d=3.0532e-14 t=16526
da ge 	大哥	c=1 d=1.29759e-06 t=16526
da guo 	大国	c=1 d=0.000309671 t=16526
da guo 	打过	c=2 d=0.0958472 t=16526
da hao 	搭好	c=1 d=1.36106e-09 t=16526
da jing xiao guai 	大惊小怪	c=1 d=0.204948 t=16526
da kai 	打开	c=26 d=0.308828 t=16526
da lao 	大佬	c=3 d=0.00484241 t=16526
da le 	打了	c=2 d=0.14821 t=16526
da liang 	大量	c=2 d=0.628135 t=16526
da mie 	达咩	c=1 d=0.546074 t=16526
da sao chu 	大扫除	c=1 d=1.02142e-14 t=16526
da sha 	打啥	c=1 d=0.000248517 t=16526
da shi 	大师	c=1 d=0.0195457 t=16526
da suan 	打算	c=2 d=0.00775048 t=16526
da xiao 	大小	c=6 d=0.282268 t=16526
da xue 	大学	c=8 d=0.570653 t=16526
da xue sheng 	大学生	c=1 d=0.000100034 t=16526
da yang 	大洋	c=1 d=1.32106e-11 t=16526
da yin 	打印	c=31 d=2.27706 t=16526
da yin dan 	打印单	c=1 d=0.343009 t=16526
da yu 	大于	c=2 d=0.0237541 t=16526
da yue 	大约	c=1 d=0.0156076 t=16526
da zao 	打造	c=1 d=4.37625e-14 t=16526
da zhuan 	大专	c=1 d=4.13066e-11 t=16526
da zi 	打字	c=1 d=0.000735471 t=16526
dai 	代	c=1 d=0.054204 t=16526
dai 	呆	c=4 d=0.304221 t=16526
dai 	带	c=4 d=0.831104 t=16526
dai 	待	c=7 d=0.0066709 t=16526
dai 	戴	c=1 d=0.000102566 t=16526
dai 	贷	c=1 d=0.0133665 t=16526
dai biao 	代表	c=1 d=0.232236 t=16526
dai dian 	带点	c=1 d=3.37202e-06 t=16526
dai hao 	带好	c=1 d=0.786628 t=16526
dai huo 	带货	c=1 d=0.144424 t=16526
dai kuan 	带宽	c=2 d=0.0337564 t=16526
dai kuan 	贷款	c=1 d=0.0149956 t=16526
dai li 	代理	c=30 d=1.47383 t=16526
dai li shang 	代理商	c=1 d=0.00140882 t=16526
dai ma 	代码	c=29 d=1.53712 t=16526
dai shang 	带上	c=1 d=9.42566e-11 t=16526
dai ti 	代替	c=3 d=1.74704e-05 t=16526
dai wan shan 	带完善	c=1 d=0.00101284 t=16526
dai yu 	待遇	c=1 d=0.0168231 t=16526
dai zhe 	带着	c=2 d=0.028297 t=16526
dai zi 	袋子	c=1 d=0.377192 t=16526
dan 	但	c=16 d=0.637628 t=16526
dan 	单	c=9 d=0.357241 t=16526
dan 	蛋	c=1 d=0.00160441 t=16526
dan che 	单车	c=3 d=0.154258 t=16526
dan du 	单独	c=7 d=0.0417529 t=16526
dan fu 	担负	c=1 d=6.02255e-06 t=16526
dan gao 	蛋糕	c=1 d=0.759572 t=16526
dan hao 	单号	c=1 d=0.0117371 t=16526
dan jia 	单价	c=1 d=0.000208619 t=16526
dan ju 	单据	c=4 d=0.0939493 t=16526
dan ni 	但你	c=1 d=4.43936e-06 t=16526
dan ren 	单人	c=1 d=6.00802e-07 t=16526
dan shen 	单身	c=1 d=3.38017e-05 t=16526
dan shi 	但是	c=17 d=0.922804 t=16526
dan wei 	单位	c=2 d=0.0253494 t=16526
dan xuan 	单选	c=1 d=1.97966e-05 t=16526
dan yin 	但因	c=1 d=0.00394621 t=16526
dan zi 	单子	c=1 d=0.00398587 t=16526
dang 	当	c=2 d=0.14808 t=16526
dang die 	当爹	c=1 d=0.00343067 t=16526
dang qian 	当前	c=11 d=0.0253253 t=16526
dang ran 	当然	c=3 d=0.615956 t=16526
dang ren 	当人	c=1 d=0.000156102 t=16526
dang shi 	当时	c=2 d=0.0110338 t=16526
dao 	倒	c=5 d=0.172355 t=16526
dao 	到	c=71 d=1.23489 t=16526
dao 	导	c=2 d=0.909373 t=16526
dao 	道	c=3 d=0.511709 t=16526
dao bu ru 	倒不如	c=1 d=4.26674e-10 t=16526
dao che 	倒车	c=1 d=0.256661 t=16526
dao chu 	到处	c=1 d=0.00609675 t=16526
dao chu 	导出	c=11 d=0.578747 t=16526
dao di 	到底	c=1 d=0.628135 t=16526
dao jia 	到家	c=1 d=1.34706e-05 t=16526
dao jia le 	到家了	c=1 d=0.0015648 t=16526
dao le 	到了	c=9 d=1.92642 t=16526
dao qi 	到期	c=6 d=0.837463 t=16526
dao ru 	导入	c=9 d=1.525 t=16526
dao ru dao chu 	导入导出	c=2 d=0.19478 t=16526
dao shi 	倒是	c=2 d=1.08518e-12 t=16526
dao shi hou 	到时候	c=7 d=0.589454 t=16526
dao wo 	到我	c=1 d=0.000555857 t=16526
dao zhan 	到站	c=2 d=1.68023e-05 t=16526
dao zhi 	导致	c=3 d=0.0816756 t=16526
de 	得	c=2 d=0.0124629 t=16526
de 	的	c=800 d=15.2592 t=16526
de dao 	得到	c=0 d=2.99071e-07 t=16526
de e 	德峨	c=1 d=1.46e-11 t=16526
de le 	得了	c=1 d=0.00123091 t=16526
de ren 	的人	c=1 d=0.0682212 t=16526
de shi 	的是	c=0 d=1.01546e-05 t=16526
de shi ba 	的是吧	c=1 d=0.000102055 t=16526
de shi hou 	的时候	c=1 d=0.000558643 t=16526
den gu 	扽顾	c=1 d=0.0102037 t=16526
deng 	登	c=2 d=0.38868 t=16526
deng 	等	c=23 d=0.421587 t=16526
deng 	蹬	c=1 d=0.193013 t=16526
deng bu dao 	等不到	c=1 d=0.185444 t=16526
deng bu shang qu 	登不上去	c=1 d=0.131336 t=16526
deng dai 	等待	c=4 d=0.740818 t=16526
deng deng 	等等	c=1 d=0.000103597 t=16526
deng hui 	等会	c=1 d=1.66241e-09 t=16526
deng lu 	登录	c=11 d=0.852144 t=16526
deng si 	等死	c=0 d=0.0021068 t=16526
deng ta 	等他	c=1 d=0.752014 t=16526
deng tai 	登台	c=1 d=0.0250972 t=16526
deng xia 	登下	c=1 d=0.582748 t=16526
deng zhe 	等着	c=1 d=0.0257325 t=16526
deng zi 	凳子	c=1 d=0.000124028 t=16526
deng zi qi 	邓紫棋	c=1 d=0.140858 t=16526
di 	低	c=1 d=0.000139481 t=16526
di 	弟	c=1 d=0.044601 t=16526
di bu 	底部	c=1 d=6.11357e-06 t=16526
di ceng 	底层	c=1 d=0.179066 t=16526
di di 	弟弟	c=1 d=8.35555e-05 t=16526
di dong 	地动	c=1 d=5.03131e-08 t=16526
di er bo 	第二波	c=1 d=0.382893 t=16526
di er ge 	第二个	c=1 d=3.50057e-05 t=16526
di er tian 	第二天	c=2 d=0.0403679 t=16526
di fang 	地方	c=7 d=0.774916 t=16526
di qu 	地区	c=2 d=2.671e-09 t=16526
di san fang 	第三方	c=1 d=0.240508 t=16526
di san ge 	第三个	c=1 d=0.0558548 t=16526
di tie 	地铁	c=3 d=0.340076 t=16526
di tu 	地图	c=2 d=0.00163792 t=16526
di yi 	第一	c=1 d=0.00119453 t=16526
di yi bian 	第一遍	c=1 d=1.78817e-14 t=16526
di yi bu 	第一步	c=1 d=0.778801 t=16526
di yi ci 	第一次	c=2 d=0.00304273 t=16526
di yi ge 	第一个	c=2 d=0.020651 t=16526
di yi tian 	第一天	c=1 d=5.40825e-05 t=16526
di yi tiao 	第一条	c=2 d=7.58811e-08 t=16526
di zhi 	地址	c=5 d=0.56836 t=16526
di zhi lan 	地址栏	c=2 d=0.000202636 t=16526
dian 	垫	c=2 d=0.00136719 t=16526
dian 	点	c=47 d=1.98484 t=16526
dian 	电	c=1 d=0.00927901 t=16526
dian ban 	点半	c=1 d=0.29671 t=16526
dian che 	电车	c=1 d=0.382893 t=16526
dian ci 	点此	c=1 d=1.15364e-05 t=16526
dian fan bao 	电饭煲	c=1 d=1.25037e-11 t=16526
dian fei 	电费	c=1 d=0.00129402 t=16526
dian ge 	点个	c=1 d=1.33366e-05 t=16526
dian hua 	电话	c=4 d=0.748264 t=16526
dian ji 	点击	c=11 d=0.635207 t=16526
dian li 	店里	c=1 d=2.17695e-05 t=16526
dian li 	电力	c=1 d=0.210136 t=16526
dian nao 	电脑	c=7 d=0.201352 t=16526
dian qi 	电器	c=1 d=0.00131358 t=16526
dian shi 	点事	c=1 d=0.00037447 t=16526
dian shi ban 	电视版	c=1 d=0.0105672 t=16526
dian shi jian 	点时间	c=1 d=0.242926 t=16526
dian wan le 	点完了	c=1 d=0.00016826 t=16526
dian ying 	电影	c=2 d=0.755784 t=16526
dian yuan 	电源	c=1 d=0.0012684 t=16526
diao 	掉	c=2 d=0.0898153 t=16526
diao 	调	c=13 d=0.199893 t=16526
diao mao 	吊毛	c=1 d=0.19593 t=16526
diao qi 	调起	c=1 d=1.45925e-05 t=16526
diao yong 	调用	c=11 d=0.970373 t=16526
ding 	定	c=2 d=0.0422648 t=16526
ding 	订	c=1 d=0.000668817 t=16526
ding 	顶	c=1 d=1.02884e-11 t=16526
ding a 	顶啊	c=0 d=3.07436e-08 t=16526
ding bu 	顶部	c=2 d=6.05274e-06 t=16526
ding dan 	订单	c=32 d=0.773066 t=16526
ding dan hao 	订单号	c=2 d=0.143704 t=16526
ding ding 	丁丁	c=1 d=0.0497871 t=16526
ding dong 	叮咚	c=2 d=0.429557 t=16526
ding fan 	订饭	c=2 d=5.11883e-05 t=16526
ding hun 	订婚	c=1 d=9.00631e-05 t=16526
ding shi 	定时	c=8 d=0.668384 t=16526
ding shi ren wu 	定时任务	c=2 d=0.00093995 t=16526
ding wei 	定位	c=1 d=1.73414e-06 t=16526
ding xiang 	定向	c=1 d=0.0423136 t=16526
ding yi 	定义	c=3 d=0.8053 t=16526
ding yue 	订阅	c=1 d=0.226502 t=16526
ding zhi 	定制	c=1 d=0.000464291 t=16526
ding zhi hua 	定制化	c=1 d=0.0502874 t=16526
diu le 	丢了	c=1 d=2.31314e-13 t=16526
diu shi 	丢失	c=2 d=0.0437178 t=16526
dong 	动	c=2 d=0.199888 t=16526
dong 	懂	c=7 d=0.660859 t=16526
dong 	栋	c=0 d=9.42085e-06 t=16526
dong bu dong 	懂不懂	c=1 d=0.631284 t=16526
dong hua 	动画	c=2 d=0.0120342 t=16526
dong jing 	动静	c=1 d=2.56879e-11 t=16526
dong le 	冻了	c=1 d=0.631284 t=16526
dong li 	东里	c=2 d=0.108964 t=16526
dong shou 	动手	c=1 d=3.58297e-14 t=16526
dong tai 	动态	c=1 d=0.410656 t=16526
dong xi 	东西	c=36 d=1.01328 t=16526
dong zhan 	东站	c=2 d=4.02953e-05 t=16526
dong zuo 	动作	c=2 d=2.71477e-06 t=16526
dou 	豆	c=1 d=4.14135e-12 t=16526
dou 	都	c=84 d=1.72913 t=16526
dou bu 	都不	c=0 d=0.0310367 t=16526
dou bu kan 	都不砍	c=1 d=0.311923 t=16526
dou bu shi 	都不是	c=1 d=0.856415 t=16526
dou gen 	都跟	c=1 d=4.94445e-09 t=16526
dou hao 	逗号	c=1 d=0.00022941 t=16526
dou hui 	都会	c=3 d=0.449329 t=16526
dou jia 	都加	c=3 d=0.169874 t=16526
dou ke yi 	都可以	c=2 d=0.427415 t=16526
dou ling 	斗灵	c=1 d=4.79832e-09 t=16526
dou luo 	斗罗	c=1 d=0.000162473 t=16526
dou mei 	都没	c=2 d=0.0770338 t=16526
dou mei le 	都没了	c=1 d=6.12835e-05 t=16526
dou mei you 	都没有	c=3 d=0.00185476 t=16526
dou neng 	都能	c=2 d=1.48873e-05 t=16526
dou shi 	都是	c=28 d=0.989074 t=16526
dou shuo 	都说	c=0 d=0.0394554 t=16526
dou shuo wo 	都说我	c=1 d=0.396531 t=16526
dou xing 	都行	c=5 d=0.494109 t=16526
dou yao 	都要	c=7 d=0.239309 t=16526
dou yi yang 	都一样	c=1 d=5.85869e-05 t=16526
dou yin 	抖音	c=1 d=0.00530026 t=16526
dou ying 	都应	c=1 d=0.00527382 t=16526
dou you 	都有	c=2 d=0.0277367 t=16526
dou zai 	都在	c=1 d=0.0308819 t=16526
dou zhi dao 	都知道	c=0 d=0.0121846 t=16526
dou zong 	斗宗	c=1 d=4.91979e-09 t=16526
du 	度	c=3 d=0.138761 t=16526
du 	读	c=1 d=0.000253537 t=16526
du a 	杜阿	c=0 d=1.78695e-07 t=16526
du che 	堵车	c=1 d=3.49213e-06 t=16526
du jie 	堵截	c=1 d=0.0149208 t=16526
du li 	独立	c=2 d=0.873716 t=16526
du qu 	读取	c=6 d=0.161218 t=16526
du shao 	杜少	c=1 d=0.000267872 t=16526
du shen fa shi 	赌身发誓	c=1 d=0.00629761 t=16526
du shen fa shi da fa 	赌身发誓打法	c=1 d=0.0632918 t=16526
du you de 	独有的	c=1 d=3.72856e-12 t=16526
du zhu 	毒株	c=1 d=0.543351 t=16526
duan 	断	c=1 d=0.0211736 t=16526
duan 	段	c=0 d=0.00426384 t=16526
duan 	端	c=15 d=0.149887 t=16526
duan dian 	断电	c=1 d=1.18878e-05 t=16526
duan kai 	断开	c=1 d=0.0207543 t=16526
duan kou 	端口	c=9 d=0.158817 t=16526
duan le 	断了	c=0 d=0.00746459 t=16526
duan luo 	段落	c=1 d=3.49213e-06 t=16526
duan qi 	短期	c=2 d=0.0587185 t=16526
duan shi pin 	短视频	c=2 d=0.0176585 t=16526
duan wang 	断网	c=1 d=0.0706512 t=16526
duan xiao jing han 	短小精悍	c=1 d=9.95351e-05 t=16526
duan xin 	短信	c=3 d=0.20988 t=16526
dui 	兑	c=2 d=0.040036 t=16526
dui 	对	c=14 d=0.741717 t=16526
dui ba 	对吧	c=2 d=0.000169951 t=16526
dui bi 	对比	c=3 d=0.0792617 t=16526
dui de 	对的	c=1 d=0.00199922 t=16526
dui de 	队的	c=2 d=0.00332928 t=16526
dui hua 	对话	c=1 d=3.53756e-11 t=16526
dui jie 	对接	c=8 d=1.09094 t=16526
dui ma 	对吗	c=2 d=0.183599 t=16526
dui xiang 	对象	c=7 d=0.171187 t=16526
dui ying 	对应	c=2 d=0.0196437 t=16526
dui yu 	对于	c=1 d=0.000156885 t=16526
dui zhao 	对照	c=1 d=2.18407e-14 t=16526
dui zhe 	对着	c=1 d=0.00050296 t=16526
duo 	多	c=20 d=1.29604 t=16526
duo bu duo 	多不多	c=1 d=0.000550326 t=16526
duo chi dian 	多吃点	c=1 d=0.380983 t=16526
duo ci 	多次	c=1 d=2.05018e-05 t=16526
duo da 	多大	c=5 d=0.0929858 t=16526
duo duan 	多端	c=1 d=0.0880368 t=16526
duo ge 	多个	c=9 d=1.45899 t=16526
duo gu 	多估	c=1 d=1.02124e-12 t=16526
duo hang 	多行	c=1 d=0.000626727 t=16526
duo hao 	多好	c=2 d=0.658972 t=16526
duo he dian 	多喝点	c=1 d=0.000561443 t=16526
duo he shui 	多喝水	c=1 d=0.339596 t=16526
duo jin cheng 	多进程	c=1 d=0.0199405 t=16526
duo jiu 	多久	c=7 d=0.260202 t=16526
duo ju 	多聚	c=1 d=0.000221519 t=16526
duo le 	多了	c=8 d=0.0554419 t=16526
duo ping tai 	多平台	c=1 d=2.43174e-13 t=16526
duo shao 	多少	c=19 d=0.916898 t=16526
duo shao qian 	多少钱	c=5 d=0.0428603 t=16526
duo shao ren 	多少人	c=1 d=0.348468 t=16526
duo tiao 	多条	c=1 d=0.00460782 t=16526
duo xian cheng 	多线程	c=1 d=0.0198411 t=16526
duo xuan 	多选	c=2 d=4.02953e-05 t=16526
duo yu yan 	多语言	c=2 d=0.000118571 t=16526
duo yuan 	多远	c=2 d=0.00719046 t=16526
duo zhe ne 	多着呢	c=1 d=9.40293e-12 t=16526
e 	额	c=0 d=0.000209124 t=16526
e 	饿	c=3 d=0.232236 t=16526
e bu 	饿不	c=1 d=1.3138e-05 t=16526
e du 	额度	c=3 d=0.044601 t=16526
e gui 	恶鬼	c=1 d=0.151829 t=16526
e le 	饿了	c=2 d=1.01892 t=16526
e lie 	恶劣	c=0 d=0.00136366 t=16526
e wai 	额外	c=1 d=0.082085 t=16526
e xin 	恶心	c=1 d=0.000284437 t=16526
e yi 	恶意	c=1 d=3.19982e-07 t=16526
en 	恩	c=18 d=0.654895 t=16526
en en 	嗯嗯	c=19 d=1.59945 t=16526
er 	二	c=2 d=1.23872 t=16526
er 	而	c=1 d=1.35055e-06 t=16526
er bu shi 	而不是	c=2 d=1.32735e-05 t=16526
er ci 	二次	c=1 d=0.579842 t=16526
er deng zuo 	二等座	c=1 d=8.70395e-15 t=16526
er duo 	耳朵	c=3 d=0.625002 t=16526
er hun 	二婚	c=1 d=2.90934e-05 t=16526
er jin zhi 	二进制	c=4 d=0.00737249 t=16526
er qie 	而且	c=4 d=0.10843 t=16526
er shi 	而是	c=1 d=4.29704e-05 t=16526
er shi yi 	二十一	c=1 d=1.04386e-05 t=16526
er wei ma 	二维码	c=4 d=0.332871 t=16526
er yi 	而已	c=1 d=4.55888e-05 t=16526
er yue 	二月	c=1 d=3.9571e-06 t=16526
er zhi 	而至	c=1 d=5.89106e-11 t=16526
fa 	发	c=15 d=1.32589 t=16526
fa bu 	发布	c=6 d=0.436364 t=16526
fa che 	发车	c=1 d=1.35055e-06 t=16526
fa chu qu 	发出去	c=1 d=1.57291e-05 t=16526
fa de 	发的	c=1 d=0.000302025 t=16526
fa dian 	发电	c=1 d=0.0142642 t=16526
fa gei 	发给	c=0 d=0.0031117 t=16526
fa gei wo men 	发给我们	c=1 d=0.031273 t=16526
fa guo qu 	发过去	c=1 d=0.278037 t=16526
fa hong bao 	发红包	c=2 d=0.366045 t=16526
